bgg_id,ano,rank,nome
233312,2018,585,Stuffed Fables
5404,2003,586,Amun-Re
137408,2013,590,Amerigo
25417,2006,594,BattleLore
136063,2013,595,Forbidden Desert
162082,2014,596,Deus
150658,2014,599,Pandemic: The Cure
157969,2014,600,Sheriff of Nottingham
83330,2011,602,Mansions of Madness
21790,2006,603,Thurn and Taxis
6249,2003,606,Alhambra
13,1995,607,CATAN
17226,2005,608,Descent: Journeys in the Dark
191862,2016,609,Imhotep
348450,2022,614,Lacrimosa
245654,2018,615,Railroad Ink: Deep Blue Edition
156009,2014,616,Port Royal
117959,2012,618,Las Vegas
284435,2019,619,Nova Luna
144797,2015,620,Argent: The Consortium
9674,2004,621,Ingenious
177639,2015,623,Raptor
417197,2024,624,Rebirth
142379,2019,625,Escape Plan
62227,2010,628,"Labyrinth: The War on Terror, 2001 – ?"
97786,2011,631,Small World Underground
280794,2020,632,Etherfields
196326,2016,633,Love Letter: Premium Edition
153938,2014,635,Camel Up
218074,2019,636,Detective: City of Angels
91312,2011,637,Discworld: Ankh-Morpork
28023,2007,638,Jamaica
84419,2011,639,Space Empires 4X
181530,2015,640,Runebound (Third Edition)
262215,2018,641,Blackout: Hong Kong
18,1994,642,RoboRally
31730,2007,643,Wabash Cannonball
133473,2013,644,Sushi Go!
125618,2012,646,Libertalia
119506,2013,647,Freedom: The Underground Railroad
171668,2015,648,The Grizzled
183251,2015,651,Karuba
90419,2011,652,Airlines Europe
97842,2011,653,Last Will
163968,2015,654,Elysium
172308,2015,656,Broom Service
2346,2001,657,DVONN
206941,2016,659,First Class: All Aboard the Orient Express!
127398,2012,660,Legends of Andor
221965,2017,661,The Fox in the Forest
65781,2010,662,London
264055,2019,664,Draftosaurus
27173,2007,665,Vikings
147949,2014,666,One Night Ultimate Werewolf
133848,2013,667,Euphoria: Build a Better Dystopia
102652,2011,670,Sentinels of the Multiverse
346965,2021,671,Azul: Queen's Garden
4390,2002,672,Carcassonne: Hunters and Gatherers
432,1994,673,6 nimmt!
265402,2019,675,In the Hall of the Mountain King
307305,2021,676,Bullet♥︎
15363,2005,677,Nexus Ops
475,2000,679,Taj Mahal
95527,2013,680,Madeira
105551,2012,681,Archipelago
213460,2017,682,Unlock!: Escape Adventures
34119,2009,683,Tales of the Arabian Nights
36553,2008,687,Time's Up! Title Recall!
232043,2017,688,Queendomino
304051,2022,689,Creature Comforts
27746,2007,690,Colosseum
193949,2016,691,Star Trek: Ascendancy
216734,2018,692,Dice Throne: Season One
237179,2022,693,Weather Machine
133038,2013,695,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set
42215,2009,698,Tobago
408180,2024,700,Shackleton Base: A Journey to the Moon
131357,2012,701,Coup
42052,2010,703,Vinhos
128780,2012,704,Pax Porfiriana
58421,2009,705,Egizia
269511,2019,710,Cooper Island
346501,2021,712,Mille Fiori
5782,2003,713,Coloretto
404431,2024,714,Men-Nefer
111799,2013,715,Cuba Libre
337765,2021,717,Brian Boru: High King of Ireland
192836,2016,718,The Colonists
298383,2021,719,Golem
141572,2014,720,Paperback
369880,2022,721,Beer & Bread
39351,2009,722,Automobile
9625,2004,723,Struggle of Empires
270673,2019,724,Silver & Gold
345868,2022,726,Federation
329551,2022,728,Mosaic: A Story of Civilization
123123,2013,729,BattleCON: Devastation of Indines
244114,2018,731,Yellow & Yangtze
140603,2013,732,Francis Drake
30869,2007,736,Thebes
6472,2003,739,A Game of Thrones
135779,2011,741,A Fake Artist Goes to New York
328479,2021,745,Living Forest
37904,2008,747,Formula D
13004,2004,749,The Downfall of Pompeii
10547,2004,751,Betrayal at House on the Hill
143519,2013,753,Quantum
155703,2014,754,Evolution
306040,2020,755,Merv: The Heart of the Silk Road
334065,2022,758,Verdant
262941,2021,759,Dominant Species: Marine
1353,1999,761,Time's Up!
24508,2006,762,Taluva
107529,2011,763,Kingdom Builder
171499,2015,764,Cacao
41,1980,765,Can't Stop
169255,2015,766,A Game of Thrones: The Card Game (Second Edition)
174785,2016,767,Mare Nostrum: Empires
209778,2017,768,Magic Maze
3201,2002,769,Lord of the Rings: The Confrontation
100423,2011,771,Elder Sign
283864,2019,772,Trails of Tucana
233247,2017,773,Civilization: A New Dawn
300300,2020,774,Chronicles of Crime: 1400
361545,2022,779,Twilight Inscription
218603,2017,783,Photosynthesis
21763,2006,784,Mr. Jack
121408,2012,786,Trains
180593,2015,787,The Bloody Inn
296912,2020,788,Fort
266164,2019,789,Babylonia
163839,2018,790,Feudum
338957,2021,795,Caesar!: Seize Rome in 20 Minutes!
69789,2010,796,Ascension: Deckbuilding Game
283863,2019,797,The Magnificent
346703,2021,798,7 Wonders: Architects
193558,2016,800,The Oracle of Delphi
242639,2018,804,Treasure Island
301255,2020,805,Whistle Mountain
113294,2012,806,Escape: The Curse of the Temple
198953,2016,808,Pax Renaissance
88,1999,809,Torres
403441,2024,810,Windmill Valley
2955,2002,811,Mexica
249381,2018,814,The Estates
119432,2012,816,Snowdonia
220517,2017,818,The Shipwreck Arcana
183840,2015,819,Oh My Goods!
58281,2009,820,Summoner Wars
123540,2012,821,Tokaido
30380,2007,824,Cuba
71721,2010,826,Space Hulk: Death Angel – The Card Game
50750,2011,827,Belfort
167400,2015,828,Ashes Reborn: Rise of the Phoenixborn
183562,2015,829,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set
7717,2003,831,Carcassonne: The Castle
156336,2014,834,Onirim (Second Edition)
213893,2017,835,Yamatai
257501,2018,837,KeyForge: Call of the Archons
168584,2015,838,Love Letter: Batman
70512,2010,839,Luna
270970,2019,840,Century: A New World
238799,2021,841,Messina 1347
203416,2016,842,Exit: The Game – The Pharaoh's Tomb
126792,2012,843,Myrmes
20100,2005,844,Las Vegas Quiz
280480,2019,846,Crystal Palace
154825,2014,847,Arkwright
281442,2019,848,Trismegistus: The Ultimate Formula
165401,2014,849,Wir sind das Volk!
146278,2013,851,Tash-Kalar: Arena of Legends
121288,2012,852,Dixit: Journey
143741,2013,853,BANG! The Dice Game
483,1959,854,Diplomacy
45,1800,856,Perudo
256788,2018,857,Detective Club
134726,2013,858,Smash Up: Awesome Level 9000
20963,2005,859,Fury of Dracula (Second Edition)
1465,1984,860,Wizard
232219,2017,862,Dragon Castle
158435,2014,863,Dogs of War
363307,2022,864,Evergreen
143515,2013,865,Coal Baron
255692,2018,867,New Frontiers
73761,2010,868,K2
168435,2015,869,Between Two Cities
242574,2018,870,Century: Eastern Wonders
65532,2010,873,Defenders of the Realm
2453,2000,874,Blokus
87890,2010,875,Prêt-à-Porter
40628,2009,877,Finca
299169,2020,878,Spicy
241724,2019,881,Villagers
15512,2005,883,Diamant
72321,2016,885,The Networks
155624,2015,887,Specter Ops
181521,2015,888,Warhammer Quest: The Adventure Card Game
244331,2018,890,Blue Lagoon
21882,2006,891,Blue Moon City
244228,2018,892,Reef
276498,2019,893,Paris: La Cité de la Lumière
264052,2019,894,Circadians: First Light
